objectid,title,reviewer,periodical_title,periodical_volume,pub_year,pub_mon,pub_day,review_pages,hathitrust_link,worldcat_link,other_libraries,linked_volumes,subject,format,display_template,object_location,image_small,image_thumb
rev_sappho_1797_crirev,"Sappho and Phaon. In a Series of Legitimate Sonnets, with Thoughts on Poetical Subjects, and Anecdotes of the Grecian Poetess. By Mary Robinson, Author of Poems, &c. &c. &c. &c. 8vo. 7s. 6d. Boards. Hookham and Carpenter. 1796",,Critical Review,19,1797,Jan,,114,https://babel.hathitrust.org/cgi/pt?id=nyp.33433066596341&view=1up&seq=124,,,vol_sappho_1796,Sappho and Phaon,image,,,https://mrrc.leighbonds.org/objects/criticalreview_sm.jpg,https://mrrc.leighbonds.org/objects/criticalreview_th.jpg
rev_sappho_1797_engmag,"Sappho and Phaon. In a Series of Legitimate Sonnets, with Thoughts on Poetical Subjects, and Anecdotes of the Grecian Poetess. By Mary Robinson, Author of Poems, &c. 7s. 6d. Hookham & Co.",,English Magazine,,1797,Jan,,50,,https://www.worldcat.org/title/52538835,,vol_sappho_1796,Sappho and Phaon,application/pdf,pdf,https://mrrc.leighbonds.org/objects/sappho_1797_engmag.pdf,https://mrrc.leighbonds.org/objects/imagenotavailable_sm.jpg,https://mrrc.leighbonds.org/objects/imagenotavailable_th.jpg
rev_sappho_1797_fremag,"Sappho and Phaon. In a Series of Legitimate Sonnets; with Thoughts on Poetical Subjects, and Anecdotes of the Grecian Poetess. By Mary Robinson, Author of Poems, &c. &c. &c. &c. 8vo. 7s. 6d. Boards. Hookham and Carpenter.",,Freemasons Magazine,8,1797,Feb,,120-122,https://babel.hathitrust.org/cgi/pt?id=nyp.33433081599320&view=1up&seq=52,,,vol_sappho_1796,Sappho and Phaon,image,,,https://mrrc.leighbonds.org/objects/freemasonsmagazine_sm.jpg,https://mrrc.leighbonds.org/objects/freemasonsmagazine_th.jpg
rev_sappho_1797_monmag,Half-Yearly Retrospect of the State of Domestic Literature: Poetry,,Monthly Magazine,3,1797,Jan,,46,https://babel.hathitrust.org/cgi/pt?id=hvd.32044015472996&view=1up&seq=60,,,vol_sappho_1796,Sappho and Phaon,image,,,https://mrrc.leighbonds.org/objects/monthlymagazine_sm.jpg,https://mrrc.leighbonds.org/objects/monthlymagazine_th.jpg
rev_sappho_1797_monrev,"Art. IV. Sappho and Phaon; in a Series of Legitimate Sonnets: with Thoughts on Poetical Subjects, and Anecdotes of the Grecian Poetess. By Mary Robinson, Author of Poems, &c. &c. Small 8vo. pp. 82. 7s. Boards. Hookham and Co. 1796.",,Monthly Review,24,1797,Sep,,17-19,https://babel.hathitrust.org/cgi/pt?id=uc1.aa0001682764&view=1up&seq=33,,,vol_sappho_1796,Sappho and Phaon,image,,,https://mrrc.leighbonds.org/objects/monthlyreview_sm.jpg,https://mrrc.leighbonds.org/objects/monthlyreview_th.jpg
rev_sappho_1797_monvis,"Art. VII. Sappho and Phaon. In a Series of Legitimate Sonnets, with Thoughts on Poetical Subjects, and Anecdotes of the Grecian Poetess. By Mary Robinson, Author of Poems, &c. &c. &c. &c. pp. 82. small 8vo. 7s. 6d. in boards. Hookham and Co. 1796.",,Monthly Visitor,1,1797,Jan,,94-95,https://babel.hathitrust.org/cgi/pt?id=nyp.33433081756755&view=1up&seq=104,,,vol_sappho_1796,Sappho and Phaon,image,,,https://mrrc.leighbonds.org/objects/monthlyvisitor_sm.jpg,https://mrrc.leighbonds.org/objects/monthlyvisitor_th.jpg
rev_vancenza_1792_anarev,"Art. XLIX. Vancenza; or, the Dangers of Credulity. By Mrs. M. Robinson, Authoress of the Poems of Laura Maria, Ainsi va le Monde, &c. 2 vols. fools-cap 8vo. 280 pages. pr. 5s. fewed. Bell. 1792.",,Analytical Review,12,1792,Mar,,339-341,https://babel.hathitrust.org/cgi/pt?id=nyp.33433082493838&view=1up&seq=349,,,vol_vancenza_1792,Vancenza,image,,,https://mrrc.leighbonds.org/objects/analyticalreview_sm.jpg,https://mrrc.leighbonds.org/objects/analyticalreview_th.jpg
rev_vancenza_1792_crirev,"Vancenza; or, the Dangers of Credulity. By Mrs. Robinson. 2 Vols. Small 8vo. 5s. Bell. 1792.",,Critical Review,4,1792,Mar,,268-272,https://babel.hathitrust.org/cgi/pt?id=hvd.hxj9pv&view=1up&seq=282,,,vol_vancenza_1792,Vancenza,image,,,https://mrrc.leighbonds.org/objects/criticalreview_sm.jpg,https://mrrc.leighbonds.org/objects/criticalreview_th.jpg
rev_vancenza_1792_engrev,"Art. VII. Vancenza; or, The Dangers of Credulity. By Mrs. M. Robinson, Authoress of the Poems of Laura Maria, Ainsi va le Monde, &c. pp. 286. 12mo. 2 vols. 5s. fewed. Printed for the Authoress; and fold by Bell, London. 1792.",,English Review,20,1792,Aug,,111-113,,https://www.worldcat.org/title/7200101,,vol_vancenza_1792,Vancenza,application/pdf,pdf,https://mrrc.leighbonds.org/objects/vancenza_1792_engrev.pdf,https://mrrc.leighbonds.org/objects/englishreview_sm.jpg,https://mrrc.leighbonds.org/objects/englishreview_th.jpg
rev_vancenza_1792_eurmag,"Vancenza; or, the Dangers of Credulity. By Mrs. Maria Robinson. 2 Vols. 12mo. 6s. Bell.",,European Magazine,21,1792,May,,344-348,https://babel.hathitrust.org/cgi/pt?id=nyp.33433081645552&view=1up&seq=374,,,vol_vancenza_1792,Vancenza,image,,,https://mrrc.leighbonds.org/objects/europeanmagazine_sm.jpg,https://mrrc.leighbonds.org/objects/europeanmagazine_th.jpg
rev_vancenza_1792_genmag_2,"Vancenza; or the Dangers of Credulity. By Mrs. M. Robinson, Authoress of the Poems of Laura Maria, Ainsi va le Monde, &c. &c. 2d Edition, 2 Vols. 12mo. Bell.",,General Magazine,6,1792,Dec,,52-59,https://babel.hathitrust.org/cgi/pt?id=hvd.32044105490890&view=1up&seq=724,,,vol_vancenza_1792_2,Vancenza,image,,,https://mrrc.leighbonds.org/objects/generalmagazine_sm.jpg,https://mrrc.leighbonds.org/objects/generalmagazine_th.jpg
rev_vancenza_1792_genmag_3,"Vancenza; or the Dangers of Credulity. By Mrs. M. Robinson, Authoress of the Poems of Laura Maria, Ainsi va le Monde, &c. 3d Edition, 2 vols. 12mo. Bell.",,General Magazine,6,1792,Dec,,156,https://babel.hathitrust.org/cgi/pt?id=hvd.32044105490890&view=1up&seq=828,,,vol_vancenza_1792_3,Vancenza,image,,,https://mrrc.leighbonds.org/objects/generalmagazine_sm.jpg,https://mrrc.leighbonds.org/objects/generalmagazine_th.jpg
rev_vancenza_1792_gentmag_3,"129. Vancenza; or, the Dangers of Credulity. By Mrs. Robinson. The Third Edition.",,Gentleman's Magazine,71,1792,Jun,,553,https://babel.hathitrust.org/cgi/pt?id=inu.30000063846715&view=1up&seq=599,,,vol_vancenza_1792_3,Vancenza,image,,,https://mrrc.leighbonds.org/objects/gentlemansmagazine_sm.jpg,https://mrrc.leighbonds.org/objects/gentlemansmagazine_th.jpg
rev_vancenza_1792_litmag,"Vancenza; or, the Dangers of Credulity. By Mrs. M. Robinson, Authoress of the Poems of Laura Maria, Ainsi va le Monde, &c. &c. 2 Vol. 4to. 1792.",,Literary Magazine,8,1792,Apr,,300-301,https://babel.hathitrust.org/cgi/pt?id=nyp.33433081648382&view=1up&seq=336,,,vol_vancenza_1792,Vancenza,image,,,https://mrrc.leighbonds.org/objects/literarymagazine_sm.jpg,https://mrrc.leighbonds.org/objects/literarymagazine_th.jpg
rev_vancenza_1792_monrev,"Art. XI.Vancenza; or, the Dangers of Credulity. By Mrs. M. Robinson, Authoress of the Poems of Laura Maria, Ainsi va le Monde, &c. &c. 2 Vol. 4to. 1792.",,Monthly Review,7,1792,Mar,,298-303,https://babel.hathitrust.org/cgi/pt?id=nyp.33433087361857&view=1up&seq=308,,,vol_vancenza_1792,Vancenza,image,,,https://mrrc.leighbonds.org/objects/monthlyreview_sm.jpg,https://mrrc.leighbonds.org/objects/monthlyreview_th.jpg
rev_vancenza_1792_nareg,Domestic Literature of the Year 1792,,New Annual Register,,1792,,,300,https://babel.hathitrust.org/cgi/pt?id=hvd.hxj8vg&view=1up&seq=714,,,vol_vancenza_1792,Vancenza,image,,,https://mrrc.leighbonds.org/objects/newannualregister_sm.jpg,https://mrrc.leighbonds.org/objects/newannualregister_th.jpg
rev_vancenza_1792_phillitreg,"Vancenza; or, the Dangers of Credulity. By Mrs. M. Robinson. 2 Vold. 8vo. 8s. Bell.",,Philosophical and Literary Register,1,1792,,,65-66,,,https://www.librarysearch.manchester.ac.uk/permalink/44MAN_INST/1lr7mpn/alma9929384884401631,vol_vancenza_1792,Vancenza,application/pdf,pdf,,https://mrrc.leighbonds.org/objects/philosophicalliteraryregister_sm.jpg,https://mrrc.leighbonds.org/objects/philosophicalliteraryregister_th.jpg
rev_vancenza_1792_tcmag,"Vancenza; or, the Dangers of Credulity. By Mrs. Robinson. 2 Vols. 8vo. 5s. Bell.",,Town and Country Magazine,24,1792,Apr,,172,https://babel.hathitrust.org/cgi/pt?id=nyp.33433084270309&view=1up&seq=196,,,vol_vancenza_1792,Vancenza,image,,,https://mrrc.leighbonds.org/objects/towncountrymagazine_sm.jpg,https://mrrc.leighbonds.org/objects/towncountrymagazine_th.jpg
rev_walsingham_1798_anarev,"Art. XXVI. Walsingham; or, the Pupil of Nature. A Domestic Story. By Mary Robinson. 4 Vols. 12mo. Price 16s. fewed. About 1460 pages. Longman. 1797.",,Analytical Review,27,1798,Jan,,80-83,https://babel.hathitrust.org/cgi/pt?id=nyp.33433087364802&view=1up&seq=88,,,vol_walsingham_1798,Walsingham,image,,,https://mrrc.leighbonds.org/objects/analyticalreview_sm.jpg,https://mrrc.leighbonds.org/objects/analyticalreview_th.jpg
rev_walsingham_1798_antjac,"Art. VI. Walsingham: or, the Pupil of Nature. A domestic Story. By Mary Robinson. 4 Vols. 12mo. Longman. Price 14s. Boards. 1797.",,Anti-Jacobin,1,1798,Aug,,160-164,https://babel.hathitrust.org/cgi/pt?id=inu.30000080768397&view=1up&seq=176,,,vol_walsingham_1798,Walsingham,image,,,https://mrrc.leighbonds.org/objects/anti-jacobin_sm.jpg,https://mrrc.leighbonds.org/objects/anti-jacobin_th.jpg
